0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,51,51,51,37,16,38,41,38,47,43,45,46,36,44,39,41,42,38,16,42,19,36,38,43,37,18,42,36,39,43,38,36,46,37,19,41,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,51,36,16,36,45,45,43,39,39,18,37,42,36,38,37,45,41,16,37,17,43,19,36,41,17,19,17,16,46,40,45,18,45,45,37,39,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,51,40,37,18,16,44,36,37,43,39,17,39,16,16,38,47,37,18,36,46,17,40,46,38,44,44,16,46,43,46,46,16,16,39,44,38,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,51,51,51,41,44,19,16,43,37,40,18,41,39,40,46,46,39,39,38,41,46,45,46,45,16,16,16,16,43,19,43,40,46,18,44,19,0,0,
0,0,0,0,24,21,21,21,21,21,21,21,21,21,21,25,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,37,37,44,0,0,0,0,0,0,0,43,37,37,44,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,36,38,18,47,47,42,42,36,39,44,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,45,39,37,41,0,0,0,0,0,0,0,39,51,38,46,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,18,41,47,43,47,38,19,19,16,38,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,47,19,45,37,0,0,0,0,0,0,0,44,51,41,44,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,19,42,37,42,36,17,17,36,39,45,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,16,47,37,16,18,36,16,17,44,40,40,45,36,42,41,43,40,37,0,0,0,0,0,0,0,0,0,0,0,19,42,39,40,37,0,0,0,0,0,0,0,18,51,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,46,41,19,41,46,37,47,38,44,18,29,21,21,21,25,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,36,39,38,19,41,16,46,16,45,37,47,41,36,39,41,43,44,45,47,0,0,0,0,0,0,0,0,0,0,0,16,19,42,18,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,17,42,46,47,17,39,19,46,18,37,19,17,47,59,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,61,45,44,36,37,43,45,17,43,41,19,17,36,40,37,16,17,43,19,0,0,0,0,0,0,0,0,0,0,0,47,45,36,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,45,43,19,38,38,36,44,40,36,45,46,42,18,57,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,63,16,37,38,47,38,46,40,44,43,37,47,40,46,40,43,46,43,46,0,0,0,0,0,0,0,0,0,0,0,17,42,44,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,19,39,30,23,23,23,23,31,42,44,30,23,23,23,26,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,36,43,46,36,46,39,30,23,23,23,23,23,23,23,23,31,46,39,42,0,0,0,0,0,0,0,0,0,0,0,42,40,18,41,41,38,42,19,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,46,47,22,48,50,50,50,20,18,46,22,48,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,39,17,37,38,22,48,50,50,50,50,50,50,50,20,16,18,43,0,0,0,0,0,0,0,0,0,0,0,39,45,16,16,18,42,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,37,42,22,49,0,0,0,20,42,19,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,19,18,41,22,49,0,0,0,0,0,0,0,20,19,19,43,0,0,0,0,0,0,0,0,0,0,0,19,39,41,45,40,47,40,41,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,36,44,22,49,0,0,0,20,43,41,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,19,40,16,22,49,0,0,0,0,0,0,0,20,42,47,17,0,0,0,0,0,0,0,0,0,0,0,46,44,17,19,41,43,43,18,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,42,43,22,49,0,0,0,20,19,43,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,47,44,19,22,49,0,0,0,0,0,0,0,20,16,44,46,0,0,0,0,0,0,0,39,47,42,42,44,44,47,45,16,40,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,37,41,29,21,21,21,21,28,42,43,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,41,16,36,22,49,0,0,0,0,0,0,0,20,46,41,39,0,0,0,0,0,0,0,36,51,51,51,42,36,16,41,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,47,41,43,40,36,42,18,46,41,47,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,19,18,17,22,49,0,0,0,0,0,0,0,20,38,16,19,0,0,0,0,0,0,0,36,51,45,37,45,45,18,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,40,36,41,24,21,21,25,43,39,18,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,18,19,16,22,49,0,0,0,0,0,0,0,20,16,40,37,0,0,0,0,0,0,0,19,51,36,36,39,39,41,42,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,41,38,42,20,41,18,22,47,44,45,22,49,0,0,0,0,0,0,0,0,0,0,16,17,42,36,16,18,37,45,18,0,0,0,47,38,36,39,22,49,0,0,0,0,0,0,0,20,36,42,46,0,0,0,0,0,0,0,19,51,51,51,45,17,47,39,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,37,37,16,20,45,44,22,41,39,17,22,49,0,0,0,0,0,0,0,0,0,0,42,41,19,16,44,19,47,40,36,45,45,19,19,37,36,44,29,21,21,21,21,21,21,21,21,28,46,45,37,0,0,0,0,0,0,0,0,0,0,0,47,16,42,36,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,18,44,19,27,23,23,26,41,38,42,22,49,0,0,0,0,0,0,0,0,0,0,37,17,37,17,36,41,16,16,37,38,41,19,38,19,18,39,16,44,43,18,45,47,40,39,36,38,38,39,18,0,0,0,0,0,0,0,0,0,0,0,41,44,46,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,39,18,43,39,37,38,16,41,38,37,22,49,0,0,0,0,0,0,0,0,0,0,17,18,46,39,19,43,16,37,41,16,41,42,18,39,38,42,41,43,18,16,36,43,18,43,19,19,17,46,16,0,0,0,0,0,0,0,0,0,0,0,44,46,47,46,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,36,16,30,23,23,23,23,31,43,40,22,49,0,0,0,0,0,0,42,40,46,42,45,47,36,41,17,16,43,46,40,0,0,0,36,39,17,36,18,44,37,37,19,19,17,40,37,16,17,42,37,0,0,0,0,0,0,0,0,0,0,0,17,17,42,42,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,43,16,22,48,50,50,50,20,38,40,22,49,0,0,0,0,0,0,36,51,51,51,17,38,19,47,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,47,46,45,39,0,0,0,0,0,0,0,0,0,0,0,19,17,41,42,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,36,43,22,49,0,0,0,20,18,18,22,49,0,0,0,0,0,0,41,51,17,47,19,43,18,44,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,19,40,38,38,0,0,0,0,0,0,0,0,0,0,0,46,17,43,45,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,18,19,22,49,0,0,0,20,42,40,22,49,0,0,0,0,0,0,45,51,43,42,38,19,19,17,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,47,18,19,41,0,0,0,0,0,0,0,0,0,0,0,18,19,46,41,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,17,37,22,49,0,0,0,20,38,44,22,49,0,0,0,0,0,0,43,51,51,51,38,17,46,46,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,42,38,44,40,46,38,47,18,17,41,17,42,19,37,36,38,41,40,39,39,42,36,40,43,41,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,38,37,29,21,21,21,21,28,44,16,22,49,0,0,0,0,0,0,0,0,0,0,42,44,19,41,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,40,36,39,36,39,36,17,37,43,38,46,41,45,38,46,45,19,46,42,18,18,17,42,19,47,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,17,43,36,17,46,40,38,19,41,43,22,49,0,0,0,0,0,0,0,0,0,0,40,38,46,42,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,47,47,36,40,46,45,38,43,46,39,18,44,36,41,40,38,42,19,36,46,41,18,17,45,41,16,16,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,38,39,38,41,19,18,19,42,16,47,22,49,0,0,0,0,0,0,0,0,0,0,37,39,42,37,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,16,43,17,37,37,38,45,40,16,46,36,16,44,44,19,46,38,16,44,36,37,44,42,43,44,38,42,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,41,39,18,45,42,18,36,18,16,42,22,49,0,0,0,0,0,0,46,37,41,41,42,17,43,44,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,41,17,43,38,44,18,36,47,17,18,40,47,44,43,38,18,41,37,41,36,47,16,42,44,37,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,17,40,17,39,37,38,43,41,47,43,22,49,0,0,0,0,0,0,36,51,51,51,18,38,38,43,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,40,17,46,0,0,0,0,0,0,0,44,19,43,17,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,39,38,42,44,43,17,18,42,45,17,22,49,0,0,0,0,0,0,17,51,43,18,18,43,18,44,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,51,39,17,51,0,0,0,0,0,0,0,17,51,19,44,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,20,42,17,36,38,16,43,47,41,43,17,22,49,0,0,0,0,0,0,19,51,47,40,40,45,19,47,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,51,16,47,51,0,0,0,0,0,0,0,45,51,45,41,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,27,23,23,23,31,45,39,30,23,23,23,26,49,0,0,0,0,0,0,44,51,51,51,38,37,47,38,46,36,41,47,19,18,17,37,16,0,0,0,0,0,0,0,18,51,51,51,51,0,0,0,0,0,0,0,19,51,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,50,50,50,50,20,36,19,22,48,50,50,50,0,0,0,0,0,0,0,0,0,0,0,45,41,18,16,18,47,17,17,40,39,39,38,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,20,16,42,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,39,39,38,41,17,36,19,36,19,38,38,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,20,44,45,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,19,47,37,16,46,45,18,17,39,45,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,20,40,18,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,40,37,39,43,46,36,40,16,37,42,37,38,45,41,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,21,28,43,46,29,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,36,44,16,46,47,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,41,37,37,39,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,36,37,46,18,38,19,16,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,46,42,40,39,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,19,46,18,45,40,39,40,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,37,19,47,17,43,42,41,39,42,37,44,36,46,37,19,38,47,0,0,0,0,0,0,0,0,0,0,0,47,46,45,17,44,44,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,41,16,18,36,37,42,39,39,45,46,47,19,45,16,46,39,16,0,0,0,0,0,0,0,0,0,0,0,37,16,18,42,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,44,47,18,45,40,17,37,17,43,46,40,43,44,38,39,37,37,0,0,0,0,0,0,0,0,0,0,0,47,44,41,46,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,44,18,39,37,36,38,17,46,45,37,43,47,45,18,44,18,45,0,0,0,0,0,0,0,0,0,0,0,42,47,17,43,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,41,38,47,38,36,45,16,16,47,44,16,18,18,39,42,41,42,0,0,0,0,0,0,0,0,0,0,0,18,43,38,46,43,36,44,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,39,37,36,44,0,0,0,0,0,0,0,0,0,0,0,38,37,18,18,18,47,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,44,45,44,47,0,0,0,0,0,0,0,0,0,0,0,38,36,39,45,17,17,17,16,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,18,40,19,40,0,0,0,0,0,0,0,0,0,0,0,40,19,45,45,40,41,43,39,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,45,39,45,18,47,18,45,45,42,16,41,36,45,47,19,43,18,37,40,17,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,37,19,39,38,39,16,41,37,40,37,44,47,18,16,37,36,42,38,17,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,44,41,45,36,41,18,46,45,19,16,19,45,39,43,45,38,38,39,40,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,17,43,18,17,37,44,38,19,18,18,16,43,47,47,16,36,44,17,36,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,41,38,39,16,38,47,47,42,38,46,36,18,36,40,39,41,37,46,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
