0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,44,41,44,45,36,40,19,16,47,17,39,38,38,16,36,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,37,44,39,45,19,45,38,19,46,46,44,42,17,16,39,17,45,36,44,40,39,43,41,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,17,39,45,19,37,43,36,19,39,46,46,41,36,43,44,44,46,37,17,47,37,45,47,39,0,0,0,0,0,0,0,0,24,21,21,21,21,21,21,25,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,45,45,38,43,42,42,43,45,16,39,42,37,18,44,36,44,36,16,40,17,40,43,17,0,0,0,0,0,0,0,0,20,44,46,41,39,45,36,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,19,17,47,46,45,44,40,46,39,37,39,19,36,37,41,19,17,42,43,43,19,19,36,40,0,0,0,0,0,0,0,0,20,18,19,40,46,46,37,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,44,42,42,30,23,23,23,23,23,23,23,23,23,23,23,23,31,45,39,37,41,36,42,45,0,0,0,0,0,0,0,0,20,36,17,0,0,38,36,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,16,17,43,22,48,50,50,50,50,50,50,50,50,50,50,50,20,18,38,47,17,43,16,40,0,0,0,0,0,0,0,0,20,39,43,264,0,46,42,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,19,40,39,22,49,0,0,0,0,0,0,0,0,0,0,0,20,41,37,42,16,45,47,36,0,0,0,0,0,0,0,0,20,47,37,36,47,38,17,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,37,46,18,22,49,0,0,0,0,0,0,0,0,0,0,0,20,36,16,43,36,36,39,45,0,0,0,0,0,0,0,0,20,40,16,43,40,40,41,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,44,18,39,22,49,0,0,0,0,0,0,0,0,0,0,0,20,17,36,38,42,44,47,40,0,0,0,0,0,0,0,0,27,23,23,23,31,18,39,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,17,19,42,22,49,0,0,0,0,0,0,0,0,0,0,0,20,44,43,17,19,46,37,39,0,0,0,0,0,0,0,0,50,50,50,50,20,43,45,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,40,45,39,22,49,0,0,0,0,0,0,0,0,0,0,0,20,37,18,17,38,44,42,36,0,0,0,0,0,0,0,0,0,0,0,0,20,39,36,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,17,18,39,22,49,0,0,0,0,0,0,0,0,0,0,0,20,17,41,44,39,40,17,16,0,0,0,0,0,0,0,0,0,0,0,0,20,19,44,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,40,39,37,47,41,39,44,19,42,18,42,39,17,0,0,0,0,0,0,0,38,16,16,43,22,49,0,0,0,0,0,0,0,0,0,0,0,20,42,18,36,18,39,36,36,0,0,0,0,0,0,0,0,0,0,0,0,20,19,44,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,42,42,45,39,18,36,45,18,45,37,46,16,0,0,
0,16,39,39,18,36,41,18,47,36,18,18,46,16,0,0,0,0,0,0,0,46,17,41,45,22,49,0,0,0,0,0,0,0,0,0,0,0,20,44,45,30,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,19,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,42,17,46,39,16,36,42,47,41,40,19,19,0,0,
0,16,17,18,37,44,47,42,18,47,36,36,44,36,0,0,0,0,0,0,0,38,43,37,39,22,49,0,0,0,0,0,0,0,0,0,0,0,20,39,43,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,45,16,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,46,47,41,38,18,16,18,38,44,39,41,0,0,
0,43,18,46,18,39,36,46,17,19,17,18,36,39,0,0,0,0,0,0,0,44,41,41,19,22,49,0,0,0,0,0,0,0,0,0,0,0,20,37,37,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,42,46,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,47,38,17,38,46,37,17,47,16,47,46,45,0,0,
0,41,45,47,17,44,36,38,16,45,38,41,16,37,45,39,17,46,43,37,45,46,17,47,43,22,49,0,0,0,0,0,0,0,0,0,0,0,20,38,37,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,41,38,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,41,36,43,18,36,39,43,43,39,46,16,37,44,38,16,37,17,43,47,0,0,
0,39,43,38,47,16,47,46,39,19,39,38,38,36,36,39,16,46,45,45,18,17,36,18,45,29,21,21,21,21,21,21,21,25,49,0,0,0,20,18,16,29,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,28,37,47,22,49,0,0,0,24,21,21,21,21,21,21,21,21,21,21,21,28,36,17,37,42,45,41,37,16,45,39,41,38,42,38,45,42,41,45,45,0,0,
0,39,43,45,37,17,39,19,41,46,18,43,18,45,43,17,38,46,40,40,38,42,41,37,37,47,42,44,37,47,18,43,38,22,49,0,0,0,20,42,39,16,45,43,40,17,36,38,37,39,44,44,39,38,19,36,36,40,47,39,36,22,49,0,0,0,20,37,18,37,47,19,36,16,17,46,16,16,17,38,37,16,47,18,18,42,37,44,46,37,37,37,39,43,47,39,16,46,0,0,
0,36,47,39,41,44,47,39,40,37,37,19,17,36,40,42,41,17,44,45,42,45,45,18,19,37,36,43,41,17,16,40,42,22,49,0,0,0,20,18,19,45,42,38,16,45,17,44,18,43,39,46,40,17,16,43,37,17,36,39,17,22,49,0,0,0,20,17,44,19,45,43,16,44,47,45,18,37,17,40,46,16,38,17,39,17,45,41,37,40,36,38,45,47,18,36,39,47,0,0,
0,45,17,17,16,40,43,17,46,41,46,39,40,36,45,16,41,18,38,16,41,30,23,23,23,23,23,23,23,23,23,23,23,26,49,0,0,0,20,19,44,30,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,31,40,19,22,49,0,0,0,27,23,23,23,23,23,23,23,31,46,16,39,46,40,38,46,38,39,16,38,16,44,16,46,38,38,38,46,42,36,47,36,0,0,
0,38,47,40,40,17,39,46,38,45,40,45,18,36,0,0,0,0,0,0,0,26,48,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,20,36,18,22,48,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,47,45,22,49,0,0,0,50,50,50,50,50,50,50,50,20,39,16,39,0,0,0,0,0,0,0,38,43,16,19,18,44,16,17,42,37,43,37,16,0,0,
0,37,41,44,36,43,18,19,17,40,44,18,18,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,36,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,44,42,22,49,0,0,0,0,0,0,0,0,0,0,0,20,17,46,38,0,0,0,0,0,0,0,36,38,42,46,17,17,47,39,47,39,46,41,18,0,0,
0,37,17,47,46,45,45,42,16,47,46,36,45,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,46,41,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,44,47,22,49,0,0,0,0,0,0,0,0,0,0,0,20,17,42,38,0,0,0,0,0,0,0,41,43,37,40,45,41,36,37,36,42,47,37,16,0,0,
0,38,37,47,47,40,16,44,36,18,38,45,17,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,38,44,22,49,0,0,0,0,0,0,0,0,0,0,16,16,39,36,21,28,38,47,22,49,0,0,0,0,0,0,0,0,0,0,0,20,47,17,45,0,0,0,0,0,0,0,46,39,39,36,39,41,36,46,47,19,45,39,36,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,42,19,22,49,0,0,0,0,0,0,0,0,0,0,47,47,44,37,46,47,36,46,22,49,0,0,0,0,0,0,0,0,0,0,0,20,43,39,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,43,36,22,49,0,0,0,0,0,0,0,0,0,0,40,39,17,36,44,45,46,19,22,49,0,0,0,0,0,0,0,0,0,0,0,20,16,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,38,46,22,49,0,0,0,0,0,0,0,0,0,0,47,37,39,41,39,40,38,44,22,49,0,0,0,0,0,0,0,0,0,0,0,20,17,16,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,16,22,0,0,0,0,0,0,0,0,0,0,0,37,45,37,18,37,46,36,19,22,49,0,0,0,0,0,0,0,0,0,0,0,20,18,17,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,28,40,43,29,0,0,0,0,0,0,0,0,0,0,0,39,47,37,43,45,46,36,16,22,49,0,0,0,0,0,0,0,0,0,0,0,20,36,42,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,42,40,41,38,0,0,0,0,0,0,0,0,0,0,0,46,36,19,37,17,46,19,36,22,49,0,0,0,0,0,0,0,0,0,0,0,20,16,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,18,38,42,41,0,0,0,0,0,0,0,0,0,0,0,19,44,41,47,46,47,42,44,22,49,0,0,0,0,0,0,0,0,0,0,0,20,19,39,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,46,41,43,0,0,0,0,0,0,0,0,0,0,0,17,45,43,38,42,16,16,18,22,49,0,0,0,0,0,0,0,0,0,0,0,20,42,41,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,41,38,41,41,0,0,0,0,0,0,0,0,0,0,0,39,37,40,16,42,39,41,18,29,21,21,21,21,21,21,21,21,21,21,21,21,28,36,19,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,38,16,17,44,0,0,0,0,0,0,0,0,0,0,0,16,18,44,36,37,44,19,38,16,46,37,47,45,43,45,42,42,19,37,39,40,37,46,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,42,40,47,16,0,0,0,0,0,0,0,0,0,0,0,44,43,47,41,46,18,36,17,41,38,38,36,38,42,47,44,47,38,38,37,42,42,40,36,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,18,42,45,39,0,0,0,0,0,0,0,0,0,0,0,42,45,45,17,45,47,41,17,17,17,45,36,40,17,47,17,42,18,44,19,41,18,40,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,46,38,19,0,0,0,0,0,0,0,0,0,0,0,36,16,19,16,47,16,38,36,43,19,36,39,37,37,46,17,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,41,46,42,0,0,0,0,0,0,0,0,0,0,0,38,43,39,38,43,37,18,46,43,46,36,43,47,39,45,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,43,17,41,17,0,0,0,0,0,0,0,0,0,0,0,37,40,43,45,17,44,39,46,41,16,36,45,47,17,19,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,42,44,39,38,0,0,0,0,0,0,0,0,0,0,0,40,36,39,36,17,42,18,36,44,42,38,43,38,38,17,19,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,45,43,39,45,0,0,0,0,0,0,0,0,0,0,0,16,37,41,39,37,40,37,19,36,36,19,47,45,47,45,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,18,36,42,19,0,0,0,0,0,0,0,0,0,0,0,47,39,42,44,46,45,44,41,16,37,44,19,18,37,45,42,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,44,38,39,41,0,0,0,0,0,0,0,0,0,0,0,40,38,43,47,36,41,41,46,18,46,19,39,47,41,47,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,19,19,36,45,0,0,0,0,0,0,0,0,0,0,0,42,17,16,47,47,17,43,47,19,19,45,40,44,18,39,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,45,41,18,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,37,43,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,18,44,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

[layer]
type=object
data=
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,105,69,103,107,69,103,99,97,65,99,103,69,107,103,69,69,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
