0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,192,216,217,216,217,194,0,0,0,0,0,0,0,0,16,16,205,193,197,209,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,210,206,57,16,205,193,202,57,16,16,201,209,217,216,217,216,217,216,217,211,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,22,23,20,21,22,23,20,57,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,196,218,219,218,219,194,0,0,0,0,0,0,0,16,16,201,209,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,210,197,193,209,218,210,193,193,193,209,218,219,218,219,218,219,218,219,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,27,24,25,26,27,24,25,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,192,216,217,216,217,194,57,0,0,0,0,0,16,16,205,209,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,31,28,29,30,31,28,29,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,196,218,219,218,219,210,202,0,0,0,16,16,16,201,209,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,211,199,195,208,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,211,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,16,17,18,19,16,17,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,200,208,217,216,217,216,194,0,0,16,16,201,193,209,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,211,203,17,18,204,195,195,208,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,21,22,23,20,21,57,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,192,219,218,219,218,198,0,0,16,205,209,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,211,207,20,21,22,23,20,21,200,195,199,208,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,211,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,51,25,26,51,24,25,26,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,200,208,216,217,216,198,57,16,16,192,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,211,207,27,24,25,26,27,24,25,26,27,24,204,208,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,211,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,29,30,31,28,29,30,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,204,208,219,218,210,193,193,197,209,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,211,203,30,31,28,48,30,31,28,29,30,31,28,29,200,208,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,211,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,18,19,16,17,18,57,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,192,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,211,207,17,18,19,16,17,18,51,16,17,18,19,16,17,18,192,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,211,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,22,23,20,21,22,23,20,21,22,23,57,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,204,208,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,194,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,192,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,211,199,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,204,208,217,216,217,216,217,216,217,216,217,216,217,211,199,199,208,216,217,216,217,194,24,25,26,27,24,25,26,27,24,25,26,27,24,25,201,209,217,216,217,216,217,216,217,216,217,216,217,216,217,216,211,195,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,200,208,218,219,218,219,218,219,211,195,195,195,207,19,16,200,208,219,218,219,210,202,29,30,31,53,29,201,206,28,29,30,31,28,201,209,218,219,218,219,218,219,218,219,211,195,199,195,195,195,199,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,192,216,217,216,217,216,211,203,23,20,21,22,23,20,21,200,208,216,217,216,210,206,18,19,16,201,209,210,193,202,18,19,205,209,217,216,217,216,217,216,217,216,211,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,21,22,23,51,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,192,218,219,218,219,211,207,26,27,24,49,26,27,24,25,26,204,208,219,218,219,210,197,193,193,209,219,218,219,210,193,197,209,218,219,218,219,218,219,218,219,211,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,57,0,0,0,0,0,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,192,216,217,216,211,203,29,30,31,28,29,30,31,28,29,30,31,196,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,211,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29,30,31,28,57,30,57,0,0,30,31,50,29,30,31,28,29,30,31,28,29,30,53,28,29,30,31,28,29,30,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,201,193,209,218,219,218,194,16,17,18,19,16,17,18,19,16,17,18,19,196,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,17,18,19,16,17,18,19,57,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,201,209,216,217,216,217,216,198,20,21,22,50,20,21,22,23,20,21,22,23,192,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,20,21,22,51,20,21,22,23,20,21,22,23,20,21,22,23,20,21,0,0,0,56,22,23,20,21,22,23,20,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,192,219,218,219,218,219,218,210,206,25,26,27,24,25,26,27,24,25,26,201,209,219,218,219,211,195,195,208,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,27,24,25,26,27,24,25,26,49,24,25,26,27,24,25,26,27,24,0,0,0,0,0,0,56,24,25,26,27,24,57,26,57,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,192,217,216,217,216,217,216,217,210,206,30,31,28,205,193,202,28,29,201,209,216,217,216,211,207,17,18,200,208,217,216,217,216,217,216,217,216,217,216,217,216,217,211,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,0,0,0,0,0,0,0,0,0,56,29,30,31,28,29,30,31,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,192,219,218,219,218,219,218,219,218,210,193,193,197,209,218,210,193,193,209,219,218,219,218,198,20,21,22,23,200,208,218,219,218,219,218,219,218,219,218,219,218,211,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,19,16,17,18,19,16,17,18,19,16,17,49,19,16,17,0,0,0,0,0,0,0,0,0,0,16,17,18,19,16,17,18,19,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,201,197,209,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,194,24,25,26,27,24,200,208,217,216,217,216,217,216,217,211,199,195,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,0,0,0,0,0,0,0,0,0,23,20,21,22,23,20,21,22,23,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,201,209,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,210,202,29,30,31,28,29,196,219,218,219,218,219,218,219,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,48,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,0,0,0,0,0,0,0,0,0,27,24,25,26,27,24,25,26,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,16,16,201,209,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,216,217,210,202,18,19,16,17,192,217,216,217,216,217,216,211,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,0,0,0,0,0,0,0,0,0,31,28,51,30,31,28,29,30,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,16,16,205,209,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,219,218,211,195,195,195,208,218,219,218,219,218,198,22,23,20,21,204,208,218,219,218,219,211,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,19,16,17,18,19,16,51,18,19,16,17,18,19,16,17,0,0,0,0,0,0,0,0,0,19,16,17,18,19,16,17,18,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,16,201,209,216,217,216,217,216,217,216,211,195,199,208,217,216,217,216,217,216,217,216,198,16,17,18,200,208,217,216,217,216,210,206,27,24,25,26,204,208,217,216,211,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,20,50,22,23,20,21,22,48,20,21,22,23,20,0,0,0,0,0,0,0,0,0,0,56,20,21,22,23,20,21,22,57,57,0,0,16,16,16,16,16,
0,0,0,0,0,0,0,0,0,0,0,16,192,219,218,219,218,219,218,219,211,203,18,19,200,208,218,219,218,219,218,219,218,198,20,21,22,23,204,208,218,219,218,219,210,202,28,29,30,31,204,208,211,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,24,25,26,27,24,25,26,27,24,25,26,27,0,0,0,0,0,0,0,0,0,0,0,0,56,25,26,27,24,25,26,27,24,57,16,16,201,193,197,197,
0,0,0,0,0,0,0,0,0,0,16,16,192,217,216,217,216,217,216,211,203,21,22,23,20,200,208,217,216,217,216,217,216,194,24,25,26,27,24,200,208,217,216,217,216,198,16,17,18,19,16,204,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,29,30,31,28,29,30,31,28,29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,30,31,28,29,30,31,28,205,197,197,209,217,216,217,
0,0,0,0,0,0,0,0,0,0,16,201,209,219,218,219,218,219,218,194,24,25,26,27,24,25,196,219,218,219,218,219,218,198,28,29,49,31,28,29,200,208,218,219,218,210,202,21,22,23,20,21,22,0,0,0,0,0,0,0,0,0,0,21,22,23,20,21,57,0,0,0,0,0,0,0,0,0,0,0,0,56,18,19,16,17,18,19,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,19,16,17,18,19,205,209,218,219,218,219,218,219,
0,0,0,0,0,0,0,0,0,0,16,192,216,217,216,217,216,217,216,194,28,29,30,31,28,29,196,217,216,217,216,217,216,210,202,17,18,19,16,17,18,192,216,217,216,217,210,202,26,27,24,25,26,0,0,0,0,0,0,0,0,27,24,25,26,27,24,25,26,57,57,0,0,0,0,0,0,0,0,0,0,0,0,56,20,21,22,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,48,23,20,21,50,205,209,217,216,217,216,217,216,217,
0,0,0,0,0,0,0,0,0,0,16,192,218,219,218,219,218,219,218,198,16,17,18,19,16,17,196,219,218,219,218,219,218,219,198,21,22,23,20,21,22,200,208,219,218,219,218,198,30,31,28,29,30,57,0,0,0,0,0,29,30,31,52,50,30,31,28,29,30,31,28,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,24,205,193,197,193,193,193,209,218,219,218,219,218,219,218,219,
0,0,0,0,0,0,0,0,0,0,16,192,216,217,216,217,216,217,216,194,20,21,22,23,20,21,192,217,216,217,216,217,216,217,194,25,26,27,24,25,26,27,200,208,216,217,216,210,206,19,16,17,18,19,57,0,0,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31,201,209,216,217,216,217,216,217,216,217,216,217,216,211,199,195,
0,0,0,0,0,0,0,0,0,0,16,196,218,219,218,219,218,219,218,198,24,25,26,27,24,25,200,199,208,219,218,219,218,219,210,206,30,31,51,29,30,31,28,196,218,219,218,219,194,23,20,21,22,23,20,57,22,23,20,21,22,23,20,21,22,23,20,21,22,0,0,21,22,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,205,209,219,218,219,218,219,218,219,218,219,218,211,199,207,0,0,
0,0,0,0,0,0,0,0,0,0,16,192,216,217,216,217,216,217,216,194,28,29,30,51,28,29,30,31,204,208,216,217,216,217,216,194,18,19,16,17,18,48,16,192,216,217,216,217,198,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,264,0,25,26,27,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,201,209,216,217,216,217,216,217,216,217,216,217,211,207,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,16,192,218,219,218,219,218,219,218,210,206,17,18,19,16,17,18,19,16,204,208,219,218,219,218,210,206,23,20,21,22,23,20,204,208,219,218,219,210,202,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,201,209,219,218,219,218,211,199,195,208,219,218,211,207,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,16,192,216,217,216,217,216,217,216,217,194,21,22,23,20,21,22,23,20,21,192,217,216,217,216,217,210,206,24,25,26,27,24,25,192,217,216,217,216,194,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,192,216,217,216,217,211,207,18,19,200,208,211,203,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,56,200,208,219,218,219,218,219,218,219,194,25,26,27,24,25,26,27,24,25,192,219,218,219,218,219,218,198,28,29,30,31,28,29,192,219,218,219,218,194,20,21,22,23,20,21,22,23,20,21,22,23,20,21,0,0,0,0,56,23,20,21,22,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,192,218,219,218,211,203,21,22,23,20,200,207,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,56,196,217,216,217,216,217,216,217,210,202,30,31,28,29,30,53,28,201,209,217,216,217,216,217,216,194,16,17,18,19,16,17,196,217,216,217,216,198,24,25,26,27,24,25,26,27,24,25,26,27,0,0,0,0,0,0,0,56,24,25,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,205,209,216,217,216,198,24,52,26,27,24,25,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,16,192,219,218,219,218,219,218,219,218,210,202,19,16,17,18,19,16,196,218,219,218,219,218,219,218,210,202,21,22,23,20,201,209,219,218,219,218,198,28,29,30,31,28,29,30,31,28,29,0,0,0,0,0,0,0,0,0,0,56,29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,27,24,25,26,201,209,219,218,219,218,194,28,29,30,31,28,29,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,16,196,217,216,217,216,217,216,217,216,217,198,23,20,21,22,23,20,196,216,217,216,217,216,217,216,217,210,202,26,27,205,209,216,217,216,217,216,194,16,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31,28,29,30,31,28,29,201,197,197,197,197,209,216,217,216,217,211,203,50,17,18,19,16,17,57,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,56,204,208,218,219,218,219,218,219,218,219,194,27,24,25,26,27,24,200,208,219,218,219,218,219,218,219,218,210,193,197,209,219,218,219,218,219,218,194,20,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,201,193,197,197,193,193,193,209,219,218,219,218,219,218,219,218,211,207,23,20,49,22,23,20,21,22,0,0,0,0,0,0,0,
