0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,26,144,187,184,185,186,199,199,184,185,186,146,26,28,17,29,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,159,163,188,189,190,203,203,188,189,162,154,23,24,26,28,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,148,162,151,151,195,195,151,151,154,27,25,30,16,31,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,159,154,25,31,21,21,22,18,27,31,19,17,20,31,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27,21,18,22,18,19,19,23,26,27,17,23,19,29,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,31,19,31,24,18,21,26,30,21,29,31,25,29,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,22,27,20,25,30,27,20,25,29,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,17,26,27,30,23,26,17,22,19,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,28,29,17,17,27,17,26,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,31,26,28,26,31,21,24,17,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,23,20,30,17,31,28,25,26,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,17,29,16,27,26,18,28,21,19,17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,29,24,22,24,20,17,0,0,0,0,0,0,0,0,17,17,23,26,25,17,19,27,25,24,25,26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,17,18,19,30,18,30,25,20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,17,30,23,18,28,16,17,0,0,0,0,0,0,0,17,17,24,20,20,25,27,30,19,28,18,30,21,26,0,17,23,16,17,17,0,0,0,0,0,0,17,28,19,19,0,17,30,22,17,0,0,0,0,0,0,0,17,17,17,16,21,26,21,16,25,28,18,21,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,28,26,25,17,20,20,17,17,0,0,0,0,0,0,31,23,16,17,21,22,27,28,22,29,24,25,16,17,0,22,16,17,22,21,28,0,0,0,0,0,27,21,21,24,23,17,26,20,17,17,0,0,0,0,17,19,21,21,23,21,28,23,22,17,152,149,145,145,157,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,29,18,29,19,31,21,29,31,17,0,0,0,17,27,29,16,18,18,28,29,23,17,21,30,27,26,31,30,31,17,21,21,20,17,29,27,19,26,29,17,16,30,28,22,27,27,17,24,27,17,19,17,0,16,17,26,24,17,17,25,22,31,21,16,148,176,177,178,161,153,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,30,19,16,19,25,20,21,22,31,0,0,0,24,16,28,24,30,24,30,17,25,19,16,17,31,19,27,23,20,28,16,27,27,21,27,26,25,27,29,17,18,16,18,24,31,26,24,28,19,23,20,17,17,17,16,24,17,18,23,21,29,30,25,26,148,180,181,182,183,161,157,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,17,17,30,20,21,20,16,31,17,0,0,0,0,29,27,29,31,27,31,0,17,23,17,17,27,26,31,23,29,22,27,30,23,19,16,25,26,21,22,24,30,16,23,19,22,27,19,21,24,30,18,23,26,18,30,21,28,29,28,25,20,23,23,27,27,159,167,185,186,187,184,150,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,16,17,23,20,46,38,42,43,27,17,0,0,17,27,21,17,30,17,16,17,22,0,0,0,0,24,31,25,31,25,27,29,30,23,26,26,16,30,18,23,25,29,31,29,18,27,24,16,22,19,21,20,20,21,21,26,29,21,19,28,30,30,25,29,21,20,23,21,155,163,190,191,188,165,157,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
149,153,16,17,18,25,36,28,39,28,25,0,0,25,23,17,25,30,20,31,18,17,0,0,0,0,0,0,24,17,20,24,19,18,29,22,30,27,21,24,24,26,28,16,16,30,25,29,26,16,25,20,25,16,21,18,30,26,17,17,18,22,25,21,24,22,28,22,17,17,159,167,179,176,177,161,157,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
176,161,145,153,30,26,45,27,45,27,25,19,0,24,19,19,17,23,28,18,29,17,0,0,0,0,0,0,0,17,17,31,16,23,16,17,25,22,26,31,30,16,27,21,18,28,19,28,23,30,22,19,23,25,27,26,29,29,18,25,31,31,24,31,22,25,17,31,31,27,30,144,183,180,181,182,161,157,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
180,181,182,165,145,145,153,30,28,25,19,30,21,22,26,29,20,16,16,27,25,17,17,27,22,22,0,0,0,0,0,17,24,24,16,23,23,24,23,29,17,24,28,17,19,27,31,31,20,18,29,26,24,23,156,145,149,145,149,157,23,29,23,23,156,153,24,17,18,30,23,155,167,184,185,186,187,146,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
184,185,186,187,184,185,165,145,153,27,22,23,18,29,16,25,26,17,17,23,18,17,21,18,17,17,0,0,0,0,0,20,22,19,18,16,28,25,23,25,17,30,17,18,17,16,25,28,22,17,30,156,145,149,164,176,177,178,179,150,20,17,24,30,148,165,153,18,25,21,21,30,148,188,189,190,191,165,153,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
188,189,190,191,188,189,190,191,161,145,157,23,22,19,30,26,21,30,22,30,22,31,31,20,16,17,21,17,0,16,27,17,17,23,28,16,27,29,24,25,31,17,31,20,16,22,27,19,20,156,145,164,181,182,183,180,181,182,183,165,145,193,193,145,160,178,165,157,21,24,19,27,159,167,177,178,179,176,161,157,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
151,167,178,179,176,162,151,147,147,163,161,149,149,157,22,25,26,22,29,26,23,19,27,18,20,18,30,17,20,17,29,27,28,22,27,30,21,31,30,28,26,17,16,31,25,19,152,149,149,164,187,184,185,186,187,184,185,186,187,184,185,199,199,180,181,182,183,150,26,31,28,20,21,155,167,182,183,180,181,161,157,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,159,167,183,180,146,28,18,18,155,151,167,176,165,149,157,26,31,29,29,26,31,17,28,30,22,25,25,18,31,20,16,21,20,30,17,30,31,17,30,24,21,24,152,149,149,164,188,189,190,191,188,189,190,191,188,189,190,191,188,162,195,195,151,167,186,187,165,157,24,17,29,29,27,144,186,187,184,185,186,150,16,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,16,155,167,184,150,24,23,30,19,24,159,167,178,179,165,145,145,153,28,26,24,22,26,26,18,24,16,27,17,18,26,22,19,31,26,17,16,24,17,18,152,149,160,177,178,179,176,177,178,179,176,177,178,179,176,177,178,179,166,154,28,31,25,148,190,191,188,150,22,25,23,31,17,155,167,191,188,189,190,165,149,153,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,17,16,159,167,150,28,21,23,19,28,29,148,182,183,180,181,182,161,145,153,24,28,31,20,24,25,28,30,19,22,16,27,22,27,29,25,21,152,149,149,160,183,180,181,182,166,151,147,147,167,180,181,182,183,180,181,182,183,146,29,28,23,26,155,163,179,176,161,157,19,28,21,29,29,155,147,151,167,178,179,176,146,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,16,17,144,165,149,145,157,27,17,21,148,186,187,184,185,186,187,184,165,145,153,21,21,30,23,28,24,30,27,25,23,23,24,27,156,149,160,184,185,186,187,184,166,151,154,21,17,23,148,184,185,186,187,184,185,186,187,150,22,21,18,31,29,159,167,180,181,146,31,18,23,29,21,30,29,17,159,167,183,180,165,153,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,16,155,163,176,176,161,149,145,145,164,190,191,188,189,190,191,188,189,190,165,149,149,145,145,149,149,145,149,145,145,149,149,149,160,190,191,188,189,190,166,147,154,28,23,31,17,17,148,188,189,190,191,188,189,190,191,161,157,20,25,31,21,25,159,163,185,161,157,20,24,30,29,29,17,25,18,144,187,184,185,150,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,17,17,155,147,147,147,147,163,176,177,178,179,176,177,178,179,176,177,178,179,176,177,178,179,176,177,178,179,176,177,178,179,176,177,178,179,176,162,151,154,29,16,30,30,17,23,16,144,176,177,178,179,176,177,178,179,176,161,153,25,21,18,31,23,148,189,190,161,153,30,23,24,19,21,31,31,155,167,188,189,165,153,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,17,16,17,21,19,16,155,147,147,167,183,180,181,182,183,180,181,182,183,180,181,182,183,180,166,151,167,162,151,147,167,162,147,151,151,151,158,23,16,19,28,18,18,20,28,27,144,180,181,182,183,180,181,182,183,180,181,146,22,18,27,23,23,159,163,178,179,146,29,30,26,23,21,17,31,16,155,147,163,176,150,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,19,19,22,28,17,18,155,151,163,185,186,187,184,185,186,187,184,162,151,147,151,154,16,155,154,16,16,144,150,31,27,17,20,24,16,16,29,17,24,25,25,23,152,164,184,185,186,187,184,185,186,187,184,185,146,19,27,25,24,30,24,144,182,183,165,153,16,17,23,29,23,21,26,24,26,159,167,146,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,17,17,21,18,17,20,23,27,29,155,163,190,191,188,189,190,191,188,146,16,16,16,16,16,16,16,16,16,144,146,27,26,156,153,20,27,24,18,28,31,18,19,16,144,191,188,189,190,191,188,189,190,191,188,189,146,29,29,28,20,19,16,148,186,187,184,150,18,22,23,16,23,17,18,21,24,26,148,150,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,17,21,17,25,18,16,17,25,19,20,16,31,155,151,163,176,177,178,179,176,146,16,16,16,16,16,16,16,16,152,164,165,149,145,160,161,153,22,31,152,157,18,24,19,156,160,179,162,151,147,147,147,167,178,179,176,177,150,21,18,19,17,27,27,144,190,191,188,165,149,153,24,29,26,24,27,24,18,18,155,154,29,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,31,20,17,17,21,21,24,16,19,21,30,31,26,17,159,163,181,182,183,180,165,157,16,16,16,16,16,16,16,144,176,177,178,179,176,177,161,145,145,164,165,149,145,145,160,182,183,146,31,31,26,18,155,151,151,163,181,146,31,27,27,19,16,152,160,178,162,151,147,163,165,157,17,29,20,19,20,18,26,26,28,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,27,18,21,30,21,22,25,17,21,29,18,22,19,23,31,159,163,186,187,184,185,146,16,16,152,153,16,156,145,160,180,181,182,183,180,181,182,183,180,181,182,183,180,181,162,151,151,158,19,26,20,17,26,30,18,159,167,161,157,25,29,29,27,144,166,147,154,21,22,148,176,150,20,31,24,27,31,31,28,17,20,20,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,29,17,24,23,16,24,18,18,30,16,24,20,26,25,26,23,159,147,167,188,189,161,157,16,148,165,145,164,186,187,184,185,186,187,184,166,151,147,147,147,151,151,147,151,158,27,16,26,18,31,30,29,20,31,23,18,159,163,146,18,16,16,31,144,150,31,29,25,23,159,163,165,157,28,22,29,23,27,16,31,28,29,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,28,29,23,19,29,16,21,31,30,22,23,18,16,16,28,23,27,159,167,177,178,165,149,160,191,188,189,190,162,147,151,151,147,147,158,29,18,30,28,16,27,16,31,18,19,17,18,19,16,30,16,24,17,29,24,23,155,154,28,22,29,20,148,146,30,30,26,26,17,144,176,146,18,20,30,31,27,24,19,17,22,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,24,29,20,21,20,16,18,22,30,30,22,25,31,22,27,18,23,29,155,151,167,176,177,178,179,176,166,151,158,21,24,28,21,16,29,18,24,20,30,30,17,18,22,30,23,27,19,23,29,25,21,28,16,30,27,22,25,29,29,22,18,21,159,163,153,25,18,29,24,144,176,146,30,31,26,29,23,22,28,22,18,29,26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,18,17,17,23,21,16,25,29,20,23,27,22,26,18,20,17,29,23,24,27,159,167,181,182,166,151,154,17,29,23,17,27,18,23,20,31,20,26,17,26,29,24,31,29,17,29,17,24,24,23,18,26,28,19,24,19,27,19,20,24,26,21,19,144,165,157,25,16,27,148,176,146,23,23,31,22,18,24,21,29,29,22,28,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,17,17,28,28,17,23,27,17,18,28,27,31,20,26,28,21,23,29,29,159,147,151,154,16,21,16,26,17,19,18,20,31,21,25,23,31,30,27,27,27,18,22,28,20,18,23,19,22,17,31,27,25,29,25,25,18,25,19,19,28,22,144,176,146,28,21,156,164,162,154,25,25,27,29,21,29,16,25,30,19,22,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
